CODIGO;NOMBRE;DEPARTAMENTO;MUNICIPIO;POBLACION
5000000;-  - ANTIOQUIA;Antioquia;;
5001000;MEDELLIN - MEDELLIN - ANTIOQUIA;Antioquia;MEDELLIN;MEDELLIN
5001001;MEDELLIN - PALMITAS - ANTIOQUIA;Antioquia;MEDELLIN;Palmitas
5001002;MEDELLIN - SAN ANTONIO DE PRADO - ANTIOQUIA;Antioquia;MEDELLIN;San Antonio de Prado
5001003;MEDELLIN - SAN CRISTOBAL - ANTIOQUIA;Antioquia;MEDELLIN;San Cristobal
5001004;MEDELLIN - SANTA ELENA - ANTIOQUIA;Antioquia;MEDELLIN;Santa Elena
5001005;MEDELLIN - PEDREGAL - ANTIOQUIA;Antioquia;MEDELLIN;Pedregal
5001009;MEDELLIN - ALTAVISTA - ANTIOQUIA;Antioquia;MEDELLIN;Altavista
5001010;MEDELLIN - AGUAS FRIAS - ANTIOQUIA;Antioquia;MEDELLIN;Aguas Frias
5002000;ABEJORRAL - ABEJORRAL - ANTIOQUIA;Antioquia;ABEJORRAL;ABEJORRAL
5002002;ABEJORRAL - PANTANILLO - ANTIOQUIA;Antioquia;ABEJORRAL;Pantanillo
5002006;ABEJORRAL - PURNIA - ANTIOQUIA;Antioquia;ABEJORRAL;Purnia
5002010;ABEJORRAL - EL CAIRO - ANTIOQUIA;Antioquia;ABEJORRAL;El Cairo
5004000;ABRIAQUI - ABRIAQUI - ANTIOQUIA;Antioquia;ABRIAQUI;ABRIAQUI
5004002;ABRIAQUI - LA ANTIGUA - ANTIOQUIA;Antioquia;ABRIAQUI;La Antigua
5021000;ALEJANDRIA - ALEJANDRIA - ANTIOQUIA;Antioquia;ALEJANDRIA;ALEJANDRIA
5030000;AMAGA - AMAGA - ANTIOQUIA;Antioquia;AMAGA;AMAGA
5030001;AMAGA - CAMILOCE - ANTIOQUIA;Antioquia;AMAGA;Camiloce
5030003;AMAGA - LA CLARITA - ANTIOQUIA;Antioquia;AMAGA;La Clarita
5030007;AMAGA - LOS ALVAREZ - ANTIOQUIA;Antioquia;AMAGA;Los Alvarez
5030008;AMAGA - DOS PENAS - ANTIOQUIA;Antioquia;AMAGA;Dos Penas
5030011;AMAGA - MINAS - ANTIOQUIA;Antioquia;AMAGA;Minas
5031000;AMALFI - AMALFI - ANTIOQUIA;Antioquia;AMALFI;AMALFI
5031004;AMALFI - PORTACHUELO - ANTIOQUIA;Antioquia;AMALFI;Portachuelo
5031005;AMALFI - ARENAS BLANCAS - ANTIOQUIA;Antioquia;AMALFI;Arenas Blancas
5031006;AMALFI - EL ZACATIN - ANTIOQUIA;Antioquia;AMALFI;El Zacatin
5031007;AMALFI - LA GUAYANA - ANTIOQUIA;Antioquia;AMALFI;La Guayana
5031008;AMALFI - BARRIO OBRERO - ANTIOQUIA;Antioquia;AMALFI;Barrio Obrero
5031009;AMALFI - EL TIGRE - ANTIOQUIA;Antioquia;AMALFI;El Tigre
5031010;AMALFI - LA CANCANA - ANTIOQUIA;Antioquia;AMALFI;La Cancana
5034000;ANDES - ANDES - ANTIOQUIA;Antioquia;ANDES;ANDES
5034001;ANDES - BUENOS AIRES - ANTIOQUIA;Antioquia;ANDES;Buenos Aires
5034003;ANDES - SAN JOSE - ANTIOQUIA;Antioquia;ANDES;San Jose
5034005;ANDES - SANTA BARBARA - ANTIOQUIA;Antioquia;ANDES;Santa Barbara
5034006;ANDES - SANTA RITA - ANTIOQUIA;Antioquia;ANDES;Santa Rita
5034007;ANDES - TAPARTO - ANTIOQUIA;Antioquia;ANDES;Taparto
5034009;ANDES - QUEBRADA ARRIBA - ANTIOQUIA;Antioquia;ANDES;Quebrada Arriba
5034012;ANDES - SANTA INES - ANTIOQUIA;Antioquia;ANDES;Santa Ines
5036000;ANGELOPOLIS - ANGELOPOLIS - ANTIOQUIA;Antioquia;ANGELOPOLIS;ANGELOPOLIS
5036001;ANGELOPOLIS - LA ESTACION - ANTIOQUIA;Antioquia;ANGELOPOLIS;La Estacion
5038000;ANGOSTURA - ANGOSTURA - ANTIOQUIA;Antioquia;ANGOSTURA;ANGOSTURA
5038001;ANGOSTURA - EL CARMELO - ANTIOQUIA;Antioquia;ANGOSTURA;El Carmelo
5038006;ANGOSTURA - CANOAS - ANTIOQUIA;Antioquia;ANGOSTURA;Canoas
5038008;ANGOSTURA - LLANOS DE CUIBA - ANTIOQUIA;Antioquia;ANGOSTURA;Llanos de Cuiba
5040000;ANORI - ANORI - ANTIOQUIA;Antioquia;ANORI;ANORI
5040002;ANORI - LIBERIA (CHARCON) - ANTIOQUIA;Antioquia;ANORI;Liberia (Charcon)
5040003;ANORI - MONTEFRIO - ANTIOQUIA;Antioquia;ANORI;Montefrio
5040004;ANORI - SANTO DOMINGO - ANTIOQUIA;Antioquia;ANORI;Santo Domingo
5040005;ANORI - CRISTALINAS - ANTIOQUIA;Antioquia;ANORI;Cristalinas
5040006;ANORI - LAS NIEVES - ANTIOQUIA;Antioquia;ANORI;Las Nieves
5040007;ANORI - MADRE SECA - ANTIOQUIA;Antioquia;ANORI;Madre Seca
5042000;SANTAFE DE ANTIOQUIA - SANTAFE DE ANTIOQUIA - ANTIOQUIA;Antioquia;SANTAFE DE ANTIOQUIA;SANTAFE DE ANTIOQUIA
5042001;SANTAFE DE ANTIOQUIA - CATIVO - ANTIOQUIA;Antioquia;SANTAFE DE ANTIOQUIA;Cativo
5042002;SANTAFE DE ANTIOQUIA - GUASABRA - LAURELES - ANTIOQUIA;Antioquia;SANTAFE DE ANTIOQUIA;Guasabra - Laureles
5042003;SANTAFE DE ANTIOQUIA - LAS AZULES - ANTIOQUIA;Antioquia;SANTAFE DE ANTIOQUIA;Las Azules
5042004;SANTAFE DE ANTIOQUIA - TONUSCO ARRIBA - ANTIOQUIA;Antioquia;SANTAFE DE ANTIOQUIA;Tonusco Arriba
5042005;SANTAFE DE ANTIOQUIA - LLANO DE BRISAS - ANTIOQUIA;Antioquia;SANTAFE DE ANTIOQUIA;Llano de Brisas
5042006;SANTAFE DE ANTIOQUIA - EL PESCADO - ANTIOQUIA;Antioquia;SANTAFE DE ANTIOQUIA;El Pescado
5042007;SANTAFE DE ANTIOQUIA - SOCORRO DE SABANAS - ANTIOQUIA;Antioquia;SANTAFE DE ANTIOQUIA;Socorro de Sabanas
5044000;ANZA - ANZA - ANTIOQUIA;Antioquia;ANZA;ANZA
5044001;ANZA - GUINTAR - ANTIOQUIA;Antioquia;ANZA;Guintar
5044002;ANZA - LA CHOLINA - ANTIOQUIA;Antioquia;ANZA;La Cholina
5044003;ANZA - LOS LLANOS - ANTIOQUIA;Antioquia;ANZA;Los Llanos
5044004;ANZA - LA CUEVA - ANTIOQUIA;Antioquia;ANZA;La Cueva
5044005;ANZA - LA CEJITA - ANTIOQUIA;Antioquia;ANZA;La Cejita
5044006;ANZA - LA HIGUINA - ANTIOQUIA;Antioquia;ANZA;La Higuina
5045000;APARTADO - APARTADO - ANTIOQUIA;Antioquia;APARTADO;APARTADO
5045001;APARTADO - SAN JOSE DE APARTADO - ANTIOQUIA;Antioquia;APARTADO;San Jose de Apartado
5045002;APARTADO - CHURIDO - ANTIOQUIA;Antioquia;APARTADO;Churido
5045003;APARTADO - ZUNGO CARRETERA - ANTIOQUIA;Antioquia;APARTADO;Zungo Carretera
5045004;APARTADO - PUEBLO QUEMADO - ANTIOQUIA;Antioquia;APARTADO;Pueblo Quemado
5045006;APARTADO - PUERTO CARIBE - ANTIOQUIA;Antioquia;APARTADO;Puerto Caribe
5045007;APARTADO - LOS NARANJALES - ANTIOQUIA;Antioquia;APARTADO;Los Naranjales
5045008;APARTADO - BIJAGUAL - ANTIOQUIA;Antioquia;APARTADO;Bijagual
5045009;APARTADO - EL REPOSO - ANTIOQUIA;Antioquia;APARTADO;El Reposo
5051000;ARBOLETES - ARBOLETES - ANTIOQUIA;Antioquia;ARBOLETES;ARBOLETES
5051001;ARBOLETES - BUENOS AIRES - ANTIOQUIA;Antioquia;ARBOLETES;Buenos Aires
5051003;ARBOLETES - EL CARMELO - ANTIOQUIA;Antioquia;ARBOLETES;El Carmelo
5051005;ARBOLETES - LAS NARANJITAS - ANTIOQUIA;Antioquia;ARBOLETES;Las Naranjitas
5051007;ARBOLETES - SIETE VUELTAS - ANTIOQUIA;Antioquia;ARBOLETES;Siete Vueltas
5051008;ARBOLETES - EL YESO - ANTIOQUIA;Antioquia;ARBOLETES;El Yeso
5051009;ARBOLETES - LA TRINIDAD - ANTIOQUIA;Antioquia;ARBOLETES;La Trinidad
5051010;ARBOLETES - LAS PLATAS (SANTAFE) - ANTIOQUIA;Antioquia;ARBOLETES;Las Platas (Santafe)
5051011;ARBOLETES - LA CANDELARIA - ANTIOQUIA;Antioquia;ARBOLETES;La Candelaria
5051014;ARBOLETES - EL GUADUAL - ANTIOQUIA;Antioquia;ARBOLETES;El Guadual
5055000;ARGELIA - ARGELIA - ANTIOQUIA;Antioquia;ARGELIA;ARGELIA
5059000;ARMENIA - ARMENIA - ANTIOQUIA;Antioquia;ARMENIA;ARMENIA
5059001;ARMENIA - LA HERRADURA - ANTIOQUIA;Antioquia;ARMENIA;La Herradura
5059002;ARMENIA - LA LOMA - ANTIOQUIA;Antioquia;ARMENIA;La Loma
5059003;ARMENIA - EL SOCORRO - ANTIOQUIA;Antioquia;ARMENIA;El Socorro
5059004;ARMENIA - MOJONES - ANTIOQUIA;Antioquia;ARMENIA;Mojones
5079000;BARBOSA - BARBOSA - ANTIOQUIA;Antioquia;BARBOSA;BARBOSA
5079001;BARBOSA - EL HATILLO - ANTIOQUIA;Antioquia;BARBOSA;El Hatillo
5079007;BARBOSA - EL VERDE - ANTIOQUIA;Antioquia;BARBOSA;El Verde
5079010;BARBOSA - EL GUAYABO - ANTIOQUIA;Antioquia;BARBOSA;El Guayabo
5079011;BARBOSA - LAS VICTORIAS - ANTIOQUIA;Antioquia;BARBOSA;Las Victorias
5079013;BARBOSA - AGUAS CLARAS - ANTIOQUIA;Antioquia;BARBOSA;Aguas Claras
5079014;BARBOSA - POPALITO - ANTIOQUIA;Antioquia;BARBOSA;Popalito
5079016;BARBOSA - YARUMITO - ANTIOQUIA;Antioquia;BARBOSA;Yarumito
5086000;BELMIRA - BELMIRA - ANTIOQUIA;Antioquia;BELMIRA;BELMIRA
5086001;BELMIRA - LABORES - ANTIOQUIA;Antioquia;BELMIRA;Labores
5086002;BELMIRA - QUEBRADITAS - ANTIOQUIA;Antioquia;BELMIRA;Quebraditas
5086004;BELMIRA - PLAYAS - ANTIOQUIA;Antioquia;BELMIRA;Playas
5088000;BELLO - BELLO - ANTIOQUIA;Antioquia;BELLO;BELLO
5088004;BELLO - EL PARAISO - ANTIOQUIA;Antioquia;BELLO;El Paraiso
5088010;BELLO - SANTA RITA - ANTIOQUIA;Antioquia;BELLO;Santa Rita
5088011;BELLO - LA CAMILA - ANTIOQUIA;Antioquia;BELLO;La Camila
5088012;BELLO - ZARZAL - ANTIOQUIA;Antioquia;BELLO;Zarzal
5088013;BELLO - SAN FELIX - ANTIOQUIA;Antioquia;BELLO;San Felix
5088017;BELLO - BELLAVISTA - ANTIOQUIA;Antioquia;BELLO;Bellavista
5088018;BELLO - SAN JOSE DEL PINAL - ANTIOQUIA;Antioquia;BELLO;San Jose del Pinal
5091000;BETANIA - BETANIA - ANTIOQUIA;Antioquia;BETANIA;BETANIA
5093000;BETULIA - BETULIA - ANTIOQUIA;Antioquia;BETULIA;BETULIA
5093001;BETULIA - ALTAMIRA - ANTIOQUIA;Antioquia;BETULIA;Altamira
5093002;BETULIA - CANGREJO - ANTIOQUIA;Antioquia;BETULIA;Cangrejo
5093003;BETULIA - LUCIANO RESTREPO - ANTIOQUIA;Antioquia;BETULIA;Luciano Restrepo
5101000;CIUDAD BOLIVAR - CIUDAD BOLIVAR - ANTIOQUIA;Antioquia;CIUDAD BOLIVAR;CIUDAD BOLIVAR
5101001;CIUDAD BOLIVAR - ALFONSO LOPEZ - ANTIOQUIA;Antioquia;CIUDAD BOLIVAR;Alfonso Lopez
5101002;CIUDAD BOLIVAR - SAN BERNARDO DE LOS FARALLONES - ANTIOQUIA;Antioquia;CIUDAD BOLIVAR;San Bernardo de los Farallones
5101006;CIUDAD BOLIVAR - SAN GREGORIO - ANTIOQUIA;Antioquia;CIUDAD BOLIVAR;San Gregorio
5101007;CIUDAD BOLIVAR - LA LINDA - ANTIOQUIA;Antioquia;CIUDAD BOLIVAR;La Linda
5101008;CIUDAD BOLIVAR - VILLA ALEGRIA - ANTIOQUIA;Antioquia;CIUDAD BOLIVAR;Villa Alegria
5107000;BRICENO - BRICENO - ANTIOQUIA;Antioquia;BRICENO;BRICENO
5107001;BRICENO - BERLIN (PUEBLO NUEVO) - ANTIOQUIA;Antioquia;BRICENO;Berlin (Pueblo Nuevo)
5107002;BRICENO - EL ROBLAL - ANTIOQUIA;Antioquia;BRICENO;El Roblal
5107003;BRICENO - LAS AURAS - ANTIOQUIA;Antioquia;BRICENO;Las Auras
5113000;BURITICA - BURITICA - ANTIOQUIA;Antioquia;BURITICA;BURITICA
5113001;BURITICA - EL NARANJO - ANTIOQUIA;Antioquia;BURITICA;El Naranjo
5113002;BURITICA - GUARCO - ANTIOQUIA;Antioquia;BURITICA;Guarco
5113003;BURITICA - TABACAL - ANTIOQUIA;Antioquia;BURITICA;Tabacal
5113004;BURITICA - URARCO - ANTIOQUIA;Antioquia;BURITICA;Urarco
5113005;BURITICA - LA ANGELINA - ANTIOQUIA;Antioquia;BURITICA;La Angelina
5113007;BURITICA - MANGLAR - ANTIOQUIA;Antioquia;BURITICA;Manglar
5120000;CACERES - CACERES - ANTIOQUIA;Antioquia;CACERES;CACERES
5120002;CACERES - EL JARDIN (TAMANA) - ANTIOQUIA;Antioquia;CACERES;El Jardin (Tamana)
5120003;CACERES - GUARUMO - ANTIOQUIA;Antioquia;CACERES;Guarumo
5120004;CACERES - MANIZALES - ANTIOQUIA;Antioquia;CACERES;Manizales
5120006;CACERES - PUERTO BELGICA - ANTIOQUIA;Antioquia;CACERES;Puerto Belgica
5120010;CACERES - PIAMONTE - ANTIOQUIA;Antioquia;CACERES;Piamonte
5120011;CACERES - NUEVA ESPERANZA - ANTIOQUIA;Antioquia;CACERES;Nueva Esperanza
5120012;CACERES - RIO MAN - ANTIOQUIA;Antioquia;CACERES;Rio Man
5125000;CAICEDO - CAICEDO - ANTIOQUIA;Antioquia;CAICEDO;CAICEDO
5125001;CAICEDO - ASESI - ANTIOQUIA;Antioquia;CAICEDO;Asesi
5125002;CAICEDO - LA SALAZAR - ANTIOQUIA;Antioquia;CAICEDO;La Salazar
5129000;CALDAS - CALDAS - ANTIOQUIA;Antioquia;CALDAS;CALDAS
5129001;CALDAS - EL CANO - ANTIOQUIA;Antioquia;CALDAS;El Cano
5129002;CALDAS - LA RAYA - ANTIOQUIA;Antioquia;CALDAS;La Raya
5129003;CALDAS - MATADERO - ANTIOQUIA;Antioquia;CALDAS;Matadero
5129004;CALDAS - LA MIEL - ANTIOQUIA;Antioquia;CALDAS;La Miel
5129005;CALDAS - LA CORRALA - ANTIOQUIA;Antioquia;CALDAS;La Corrala
5129006;CALDAS - PRIMAVERA - ANTIOQUIA;Antioquia;CALDAS;Primavera
5134000;CAMPAMENTO - CAMPAMENTO - ANTIOQUIA;Antioquia;CAMPAMENTO;CAMPAMENTO
5134001;CAMPAMENTO - LA CHIQUITA - ANTIOQUIA;Antioquia;CAMPAMENTO;La Chiquita
5134002;CAMPAMENTO - LA SOLITA - ANTIOQUIA;Antioquia;CAMPAMENTO;La Solita
5134003;CAMPAMENTO - LLANADAS - ANTIOQUIA;Antioquia;CAMPAMENTO;Llanadas
5134005;CAMPAMENTO - MORROPELON - ANTIOQUIA;Antioquia;CAMPAMENTO;Morropelon
5134008;CAMPAMENTO - LOS CHORROS - ANTIOQUIA;Antioquia;CAMPAMENTO;Los Chorros
5138000;CANASGORDAS - CANASGORDAS - ANTIOQUIA;Antioquia;CANASGORDAS;CANASGORDAS
5138001;CANASGORDAS - BUENOS AIRES - ANTIOQUIA;Antioquia;CANASGORDAS;Buenos Aires
5138002;CANASGORDAS - CESTILLAL - ANTIOQUIA;Antioquia;CANASGORDAS;Cestillal
5138003;CANASGORDAS - JUNTAS DE URAMITA - ANTIOQUIA;Antioquia;CANASGORDAS;Juntas de Uramita
5138005;CANASGORDAS - SAN PASCUAL - ANTIOQUIA;Antioquia;CANASGORDAS;San Pascual
5138006;CANASGORDAS - VERSALLES - ANTIOQUIA;Antioquia;CANASGORDAS;Versalles
5138007;CANASGORDAS - LA BALSA - ANTIOQUIA;Antioquia;CANASGORDAS;La Balsa
5138008;CANASGORDAS - EL MADERO - ANTIOQUIA;Antioquia;CANASGORDAS;El Madero
5142000;CARACOLI - CARACOLI - ANTIOQUIA;Antioquia;CARACOLI;CARACOLI
5142001;CARACOLI - SARDINAS - ANTIOQUIA;Antioquia;CARACOLI;Sardinas
5142002;CARACOLI - CASCARON - ANTIOQUIA;Antioquia;CARACOLI;Cascaron
5142003;CARACOLI - EL BAGRE - ANTIOQUIA;Antioquia;CARACOLI;El Bagre
5142004;CARACOLI - LAS AGUILAS - ANTIOQUIA;Antioquia;CARACOLI;Las Aguilas
5142005;CARACOLI - LA FONTANA - ANTIOQUIA;Antioquia;CARACOLI;La Fontana
5142006;CARACOLI - SANTA ROSA - ANTIOQUIA;Antioquia;CARACOLI;Santa Rosa
5145000;CARAMANTA - CARAMANTA - ANTIOQUIA;Antioquia;CARAMANTA;CARAMANTA
5145001;CARAMANTA - ALEGRIAS - ANTIOQUIA;Antioquia;CARAMANTA;Alegrias
5145002;CARAMANTA - SUCRE - ANTIOQUIA;Antioquia;CARAMANTA;Sucre
5145003;CARAMANTA - BARRO BLANCO - ANTIOQUIA;Antioquia;CARAMANTA;Barro Blanco
5145004;CARAMANTA - CHIRAPOTO - ANTIOQUIA;Antioquia;CARAMANTA;Chirapoto
5147000;CAREPA - CAREPA - ANTIOQUIA;Antioquia;CAREPA;CAREPA
5147001;CAREPA - BIJAGUAL - ANTIOQUIA;Antioquia;CAREPA;Bijagual
5147002;CAREPA - CAMPAMENTO - ANTIOQUIA;Antioquia;CAREPA;Campamento
5147003;CAREPA - PIEDRAS BLANCAS - ANTIOQUIA;Antioquia;CAREPA;Piedras Blancas
5147004;CAREPA - ZUNGO EMBARCADERO - ANTIOQUIA;Antioquia;CAREPA;Zungo Embarcadero
5147005;CAREPA - ZUNGO - PUEBLO NUEVO - ANTIOQUIA;Antioquia;CAREPA;Zungo - Pueblo Nuevo
5148000;EL CARMEN DE VIBORAL - EL CARMEN DE VIBORAL - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;EL CARMEN DE VIBORAL
5148001;EL CARMEN DE VIBORAL - SANTA INES - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;Santa Ines
5148002;EL CARMEN DE VIBORAL - SANTA RITA - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;Santa Rita
5148003;EL CARMEN DE VIBORAL - AGUAS CLARAS - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;Aguas Claras
5148004;EL CARMEN DE VIBORAL - LA MARIA - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;La Maria
5148005;EL CARMEN DE VIBORAL - LA CHAPA - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;La Chapa
5148007;EL CARMEN DE VIBORAL - LA ESPERANZA - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;La Esperanza
5148008;EL CARMEN DE VIBORAL - LA MADERA - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;La Madera
5148009;EL CARMEN DE VIBORAL - CANADA - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;Canada
5148010;EL CARMEN DE VIBORAL - ALTO GRANDE - ANTIOQUIA;Antioquia;EL CARMEN DE VIBORAL;Alto Grande
5150000;CAROLINA - CAROLINA - ANTIOQUIA;Antioquia;CAROLINA;CAROLINA
5150001;CAROLINA - GUANACAS (GUAPAGUES) - ANTIOQUIA;Antioquia;CAROLINA;Guanacas (Guapagues)
5154000;CAUCASIA - CAUCASIA - ANTIOQUIA;Antioquia;CAUCASIA;CAUCASIA
5154003;CAUCASIA - CUTURU - ANTIOQUIA;Antioquia;CAUCASIA;Cuturu
5154004;CAUCASIA - CHONTADURO - ANTIOQUIA;Antioquia;CAUCASIA;Chontaduro
5154006;CAUCASIA - MARGENTO - ANTIOQUIA;Antioquia;CAUCASIA;Margento
5154007;CAUCASIA - PUERTO COLOMBIA - ANTIOQUIA;Antioquia;CAUCASIA;Puerto Colombia
5154008;CAUCASIA - PALANCA - ANTIOQUIA;Antioquia;CAUCASIA;Palanca
5154009;CAUCASIA - PALOMAR - ANTIOQUIA;Antioquia;CAUCASIA;Palomar
5154010;CAUCASIA - PUEBLO NUEVO - ANTIOQUIA;Antioquia;CAUCASIA;Pueblo Nuevo
5154012;CAUCASIA - SANTA ROSITA - ANTIOQUIA;Antioquia;CAUCASIA;Santa Rosita
5154013;CAUCASIA - CARACOLI - ANTIOQUIA;Antioquia;CAUCASIA;Caracoli
5154015;CAUCASIA - PUERTO GAITAN - ANTIOQUIA;Antioquia;CAUCASIA;Puerto Gaitan
5154016;CAUCASIA - EL SABALO - ANTIOQUIA;Antioquia;CAUCASIA;El Sabalo
5154019;CAUCASIA - EL GUTINAJO - ANTIOQUIA;Antioquia;CAUCASIA;El Gutinajo
5154020;CAUCASIA - PUERTO TRIANA - ANTIOQUIA;Antioquia;CAUCASIA;Puerto Triana
5154022;CAUCASIA - LA ILUSION - ANTIOQUIA;Antioquia;CAUCASIA;La Ilusion
5154023;CAUCASIA - CACERI - ANTIOQUIA;Antioquia;CAUCASIA;Caceri
5154024;CAUCASIA - EL PANDO - ANTIOQUIA;Antioquia;CAUCASIA;El Pando
5172000;CHIGORODO - CHIGORODO - ANTIOQUIA;Antioquia;CHIGORODO;CHIGORODO
5172003;CHIGORODO - BARRANQUILLITA - ANTIOQUIA;Antioquia;CHIGORODO;Barranquillita
5190000;CISNEROS - CISNEROS - ANTIOQUIA;Antioquia;CISNEROS;CISNEROS
5190002;CISNEROS - FATIMA - ANTIOQUIA;Antioquia;CISNEROS;Fatima
5190003;CISNEROS - ALGARROBO - ANTIOQUIA;Antioquia;CISNEROS;Algarrobo
5190004;CISNEROS - EL LIMON - ANTIOQUIA;Antioquia;CISNEROS;El Limon
5197000;COCORNA - COCORNA - ANTIOQUIA;Antioquia;COCORNA;COCORNA
5197001;COCORNA - AGUA LINDA - ANTIOQUIA;Antioquia;COCORNA;Agua Linda
5197004;COCORNA - LA PLACITA - ANTIOQUIA;Antioquia;COCORNA;La Placita
5197005;COCORNA - LA PINUELA - ANTIOQUIA;Antioquia;COCORNA;La Pinuela
5197006;COCORNA - FARALLONES - ANTIOQUIA;Antioquia;COCORNA;Farallones
5197007;COCORNA - LAS CRUCES - ANTIOQUIA;Antioquia;COCORNA;Las Cruces
5197008;COCORNA - LA HONDA - ANTIOQUIA;Antioquia;COCORNA;La Honda
5197009;COCORNA - LA PRIMAVERA - ANTIOQUIA;Antioquia;COCORNA;La Primavera
5197010;COCORNA - LA FLORIDA - ANTIOQUIA;Antioquia;COCORNA;La Florida
5197011;COCORNA - LA GRANJA - ANTIOQUIA;Antioquia;COCORNA;La Granja
5197012;COCORNA - PAILANIA - ANTIOQUIA;Antioquia;COCORNA;Pailania
5206000;CONCEPCION - CONCEPCION - ANTIOQUIA;Antioquia;CONCEPCION;CONCEPCION
5209000;CONCORDIA - CONCORDIA - ANTIOQUIA;Antioquia;CONCORDIA;CONCORDIA
5209001;CONCORDIA - EL SOCORRO - ANTIOQUIA;Antioquia;CONCORDIA;El Socorro
5209002;CONCORDIA - MORELIA - ANTIOQUIA;Antioquia;CONCORDIA;Morelia
5209003;CONCORDIA - MORITOS - ANTIOQUIA;Antioquia;CONCORDIA;Moritos
5209004;CONCORDIA - SAN FRANCISCO - ANTIOQUIA;Antioquia;CONCORDIA;San Francisco
5209005;CONCORDIA - LAS ANIMAS - ANTIOQUIA;Antioquia;CONCORDIA;Las Animas
5209006;CONCORDIA - EL GOLPE - ANTIOQUIA;Antioquia;CONCORDIA;El Golpe
5209007;CONCORDIA - SALAZAR - ANTIOQUIA;Antioquia;CONCORDIA;Salazar
5212000;COPACABANA - COPACABANA - ANTIOQUIA;Antioquia;COPACABANA;COPACABANA
5212009;COPACABANA - CANOAS - ANTIOQUIA;Antioquia;COPACABANA;Canoas
5212010;COPACABANA - EL NAVAL (TOLDA) - ANTIOQUIA;Antioquia;COPACABANA;El Naval (Tolda)
5212012;COPACABANA - EL TABLAZO - ANTIOQUIA;Antioquia;COPACABANA;El Tablazo
5212013;COPACABANA - LA LOMITA - ANTIOQUIA;Antioquia;COPACABANA;La Lomita
5212015;COPACABANA - EL AMOR - ANTIOQUIA;Antioquia;COPACABANA;El Amor
5234000;DABEIBA - DABEIBA - ANTIOQUIA;Antioquia;DABEIBA;DABEIBA
5234003;DABEIBA - GALILEA - ANTIOQUIA;Antioquia;DABEIBA;Galilea
5234004;DABEIBA - SAN JOSE DE URAMA (URAMAGRANDE) - ANTIOQUIA;Antioquia;DABEIBA;San Jose de Urama (Uramagrande)
5234007;DABEIBA - CARRA - ANTIOQUIA;Antioquia;DABEIBA;Carra
5234008;DABEIBA - ARMENIA - CAMPARRUSIA - ANTIOQUIA;Antioquia;DABEIBA;Armenia - Camparrusia
5234009;DABEIBA - LLANO GRANDE - ANTIOQUIA;Antioquia;DABEIBA;Llano Grande
5234010;DABEIBA - LAS CRUCES DE URAMA - ANTIOQUIA;Antioquia;DABEIBA;Las Cruces de Urama
5234011;DABEIBA - ARENERA - ANTIOQUIA;Antioquia;DABEIBA;Arenera
5234012;DABEIBA - CHIMIANDO - ANTIOQUIA;Antioquia;DABEIBA;Chimiando
5234013;DABEIBA - SANTA TERESA - ANTIOQUIA;Antioquia;DABEIBA;Santa Teresa
5234014;DABEIBA - EL BOTON - ANTIOQUIA;Antioquia;DABEIBA;El Boton
5237000;DON MATIAS - DON MATIAS - ANTIOQUIA;Antioquia;DON MATIAS;DON MATIAS
5237001;DON MATIAS - BELLAVISTA - ANTIOQUIA;Antioquia;DON MATIAS;Bellavista
5237002;DON MATIAS - RIOGRANDE - ANTIOQUIA;Antioquia;DON MATIAS;Riogrande
5240000;EBEJICO - EBEJICO - ANTIOQUIA;Antioquia;EBEJICO;EBEJICO
5240001;EBEJICO - BRASIL - ANTIOQUIA;Antioquia;EBEJICO;Brasil
5240002;EBEJICO - ECUADOR - ANTIOQUIA;Antioquia;EBEJICO;Ecuador
5240003;EBEJICO - SEVILLA - ANTIOQUIA;Antioquia;EBEJICO;Sevilla
5240004;EBEJICO - VUELTA LA OREJA - ANTIOQUIA;Antioquia;EBEJICO;Vuelta La Oreja
5240007;EBEJICO - GUAYABAL - ANTIOQUIA;Antioquia;EBEJICO;Guayabal
5240011;EBEJICO - LA CLARA - ANTIOQUIA;Antioquia;EBEJICO;La Clara
5250000;EL BAGRE - EL BAGRE - ANTIOQUIA;Antioquia;EL BAGRE;EL BAGRE
5250001;EL BAGRE - SANTA MARGARITA - ANTIOQUIA;Antioquia;EL BAGRE;Santa Margarita
5250002;EL BAGRE - PUERTO CLAVER - ANTIOQUIA;Antioquia;EL BAGRE;Puerto Claver
5250003;EL BAGRE - LAS FLORES - ANTIOQUIA;Antioquia;EL BAGRE;Las Flores
5250004;EL BAGRE - PUERTO LOPEZ - ANTIOQUIA;Antioquia;EL BAGRE;Puerto Lopez
5250005;EL BAGRE - EL REAL - ANTIOQUIA;Antioquia;EL BAGRE;El Real
